Sample;SampleNo;Blend;BlendNo;ZwaarVanGeur;ScherpVanGeur;WeeVanGeur;LichtVanGeur;MufVanGeur;AromatischVanGeur;KoffieGeur;KunstmatigVanGeur;FlauwVanSmaak;OudVanSmaak;HardVanSmaak;VlakVanSmaak;KruidigVanSmaak;LichtVanSmaak;KrachtigVanSmaak;ZurigVanSmaak;BitterVanSmaak;ZuiverVanSmaak;WrangVanSmaak;FrisVanSmaak;SchraalVanSmaak;CaramelachtigVanSmaak;RondVanSmaak;SmaaktAangebrand;VettigVanSmaak;KunstmatigVanSmaak;ZachtVanSmaak;DroogMondgevoel;ScherpMondgevoel;BijSmaak
Dark01-49;1;Dark;3;47.6;38.4;24.1;38.6;18.6;54.7;62.6;18.4;26.1;27;43.9;28.5;39.4;29.7;60.6;36.1;51.5;51;28.9;31.2;29.4;21.6;44.4;38.7;24.1;16.9;34.6;38;44.6;17.1
Mild01-50;2;Mild;1;43;35.1;19.7;44.4;16.6;50.5;59.6;13.4;33.9;23.4;36.3;38.6;34.8;46.1;45.5;34.7;38.2;53.4;23.6;33.9;28.5;20.8;47.5;19.9;23.6;14.3;49.5;33.1;31.2;15.7
Reg01-51;3;Regular;2;44.7;38;24.1;39.8;17.9;52.2;59.1;15.1;26.6;26.6;38.1;32.5;36.9;32.3;56.1;39.5;48.3;53.3;23.5;32.4;26.1;21.2;41.6;33.8;21.8;13;36.7;34.8;43.3;17.7
Dark01-52;4;Dark;3;53.5;42.9;22.6;37.5;15.6;55.2;59.8;16.4;25.6;26.7;50.9;29.2;44.4;28.4;64.5;38.1;54.3;53.2;31.5;33.2;25.9;23.1;50.4;38.5;22.6;17.1;28.8;38.5;49.9;17.6
Dark02-02;5;Dark;3;39.4;31.7;23.3;45.7;17;52.2;60.7;13.7;25.5;27.1;41.4;32.6;44.9;29.6;57.1;28.5;51.2;52.3;28.1;31.1;25.4;20.5;45;31.4;22.2;13.7;38.2;33.4;34;16.5
Mild02-02;6;Mild;1;51;32.5;22.6;39.4;21.5;53.1;58;19;31.9;23.7;31.2;35.4;32.4;43.1;48.5;41.9;41.3;49;26.3;40.8;29.3;20;43.8;24;20.7;16.3;45.8;26.1;26.7;16.9
Dark02-03;7;Dark;3;52.6;41.1;22.9;37.8;16;53.7;64.9;15.2;26.8;30.4;44.5;40.3;41.6;35;54.5;31.3;51.2;58;26.9;38.5;28.3;21.3;52.8;28;20.9;15.6;43.2;34.5;38.2;17.2
Dark02-05;8;Dark;3;49.6;38.2;22.1;38.5;18.5;54.7;56.3;18.8;21.9;26.4;44.4;27.3;40.4;27;60.3;39.1;54.8;52.8;27.9;31.6;26.3;19.6;46.5;35.2;26.7;17.7;35.4;35.2;46.4;21.4
Reg02-05;9;Regular;2;43.3;34;22.6;45;14.1;52.1;61;15.7;29.6;22.9;36.4;30.3;40.3;38.8;53.3;43.1;44.5;58.8;28;36.4;23.5;18.7;50.5;26;19.5;13.8;43.4;32.6;31.3;14
Dark02-07;10;Dark;3;49.7;38.3;25.5;38.6;18.6;52.6;61.6;15.9;23.6;29.5;45;31.7;39.4;33.1;59.4;38.3;49.3;52.9;31.5;34.3;29;18.1;46.8;30.5;19.3;15.5;33.1;32.1;44.8;27.1
